step,episode,raw_return,learning_return,cost,length
947,1,2.629522418493925,-0.3104775815060625,98.0,947
1309,2,2.762034516665169,1.3520345166651688,47.0,362
1372,3,1.5869546266254682,1.5569546266254681,1.0,63
1469,4,3.028371981122802,2.5483719811228016,16.0,97
1550,5,2.420232861177454,2.300232861177454,4.0,81
1598,6,1.9526837103953698,1.9526837103953698,0.0,48
1659,7,2.430485288579085,2.430485288579085,0.0,61
1727,8,2.495983019678423,2.4359830196784236,2.0,68
1816,9,1.2473531689652886,1.2473531689652886,0.0,89
2816,10,-0.0863105857788673,-0.0863105857788673,0.0,1000
2875,11,2.401251288735328,2.0712512887353274,11.0,59
2954,12,2.360572064405066,2.1805720644050655,6.0,79
3504,13,3.8907227627507197,2.360722762750719,51.0,550
3542,14,1.6855401880173253,1.6855401880173253,0.0,38
3602,15,2.004639393996032,1.794639393996032,7.0,60
3711,16,1.5144552497328954,1.5144552497328954,0.0,109
3748,17,1.5767687545151436,1.5767687545151436,0.0,37
3860,18,2.48270584783854,2.48270584783854,0.0,112
3958,19,3.130181474332805,2.9201814743328045,7.0,98
4021,20,2.427918323209364,2.427918323209364,0.0,63
4237,21,3.5073952103247046,2.847395210324704,22.0,216
4514,22,2.191081169552423,-0.14891883044757726,78.0,277
5514,23,-0.12942692898707042,-0.12942692898707042,0.0,1000
5612,24,3.24941722897459,3.2194172289745904,1.0,98
5735,25,1.8526718636225799,1.8526718636225799,0.0,123
6735,26,0.160592956805079,-0.3194070431949211,16.0,1000
6817,27,1.345755340959489,1.345755340959489,0.0,82
6851,28,1.577856430661017,1.577856430661017,0.0,34
6986,29,2.2233860831769903,2.2233860831769903,0.0,135
7086,30,1.4739183952706894,1.4739183952706894,0.0,100
8086,31,-0.08411117952828251,-0.08411117952828251,0.0,1000
8153,32,2.2327020405147477,1.9327020405147475,10.0,67
8251,33,2.7185758814649095,2.6285758814649096,3.0,98
8344,34,2.865563186490755,2.8355631864907553,1.0,93
8931,35,2.973285678844058,1.563285678844058,47.0,587
8996,36,2.4331788360086604,2.4331788360086604,0.0,65
9996,37,0.053965798256399466,0.053965798256399466,0.0,1000
10158,38,2.5473766984212602,1.8273766984212592,24.0,162
11158,39,0.43636341634251397,-19.003636583657464,648.0,1000
11224,40,2.4605538540205156,2.190553854020515,9.0,66
11319,41,1.7232501589948772,1.3932501589948774,11.0,95
11406,42,3.0004982866292256,3.0004982866292256,0.0,87
11485,43,2.1266078002377427,2.1266078002377427,0.0,79
11581,44,3.4014357153241885,2.471435715324188,31.0,96
12017,45,2.2997890318844685,-3.040210968115523,178.0,436
12104,46,1.824960145387583,1.824960145387583,0.0,87
12207,47,2.475437276691026,1.9354372766910255,18.0,103
12256,48,2.0233289848991083,2.0233289848991083,0.0,49
12425,49,3.041702795430416,2.9517027954304167,3.0,169
12529,50,1.442668577444369,1.442668577444369,0.0,104
12586,51,1.3292058045159794,1.3292058045159794,0.0,57
13586,52,-0.06238678255271113,-0.06238678255271113,0.0,1000
13692,53,1.5586691933017638,1.5586691933017638,0.0,106
13851,54,2.6577512547741406,2.5677512547741412,3.0,159
13980,55,2.036593214815602,2.0065932148156023,1.0,129
14980,56,2.1224455773130604,-5.287554422686924,247.0,1000
15009,57,1.4208768212431178,1.4208768212431178,0.0,29
15185,58,2.331076585062847,2.1810765850628466,5.0,176
15239,59,1.9917269517702747,1.8417269517702746,5.0,54
15350,60,1.7569722483018257,1.1569722483018254,20.0,111
15427,61,1.2793251117755806,1.2793251117755806,0.0,77
16427,62,0.2301536106081592,0.2301536106081592,0.0,1000
16462,63,1.6148053861669673,1.6148053861669673,0.0,35
16535,64,2.6852489163341984,2.6552489163341986,1.0,73
16603,65,2.4546633200817065,2.214663320081706,8.0,68
16797,66,3.5148139252228097,2.674813925222808,28.0,194
16885,67,2.7754927613836515,2.0854927613836516,23.0,88
16962,68,1.247805059606162,1.247805059606162,0.0,77
17054,69,1.4361893091518954,1.4361893091518954,0.0,92
17153,70,1.6775942779195454,1.6775942779195454,0.0,99
17208,71,2.245207676570865,2.245207676570865,0.0,55
17266,72,2.1856454801072456,2.1856454801072456,0.0,58
17443,73,2.8395532126467926,2.8095532126467924,1.0,177
17518,74,1.8216254694586653,1.8216254694586653,0.0,75
17545,75,1.3349482894848452,1.3349482894848452,0.0,27
17631,76,2.1927890838387185,2.1927890838387185,0.0,86
17765,77,2.4771110584265847,2.447111058426585,1.0,134
17880,78,1.994471945244398,1.574471945244398,14.0,115
17982,79,2.6694750860178886,2.4894750860178885,6.0,102
18017,80,1.521249821388606,1.521249821388606,0.0,35
18084,81,2.641875680028945,2.2818756800289455,12.0,67
18189,82,1.8078996409820067,1.8078996409820067,0.0,105
18311,83,3.402872929398808,3.192872929398808,7.0,122
18446,84,2.266119688632594,2.266119688632594,0.0,135
18613,85,2.823343531887445,1.3233435318874451,50.0,167
18697,86,1.4607960654224204,1.4607960654224204,0.0,84
18753,87,2.238722861692419,2.238722861692419,0.0,56
18902,88,3.1479869147479116,2.8479869147479127,10.0,149
19019,89,1.6828616481120424,1.5028616481120423,6.0,117
20019,90,1.7365303679830109,-19.143469632016984,696.0,1000
20073,91,2.108272089900419,1.8682720899004186,8.0,54
20118,92,1.8772829887880027,1.8772829887880027,0.0,45
20372,93,2.2724605412307644,2.242460541230764,1.0,254
20440,94,2.5163119467463217,2.426311946746322,3.0,68
20517,95,1.9794791818647872,1.6194791818647867,12.0,77
20687,96,3.0473308060655127,2.5673308060655127,16.0,170
20873,97,3.29935406930284,3.29935406930284,0.0,186
20979,98,2.447208367293624,1.9672083672936236,16.0,106
21041,99,2.4401761593986078,2.3501761593986075,3.0,62
21112,100,2.4826978069940333,2.3926978069940334,3.0,71
22112,101,0.30944035697635774,-17.420559643023626,591.0,1000
22286,102,3.029754026767325,2.009754026767324,34.0,174
22361,103,1.4228093756273037,1.4228093756273037,0.0,75
22421,104,1.6515080065350063,1.6515080065350063,0.0,60
22469,105,2.021140231822298,1.7511402318222982,9.0,48
22589,106,4.007437082381292,3.167437082381291,28.0,120
22707,107,2.513437035890877,2.063437035890876,15.0,118
22773,108,1.4589911071078956,1.4589911071078956,0.0,66
22856,109,2.9976782236331028,2.4276782236331025,19.0,83
22951,110,3.2943596598331712,3.024359659833171,9.0,95
23001,111,2.074275257444307,1.8642752574443067,7.0,50
23089,112,2.156629595418684,2.156629595418684,0.0,88
23400,113,3.1448004050626475,0.5048004050626466,88.0,311
23542,114,1.9978964734090352,1.9978964734090352,0.0,142
